f1af5556-e822-4563-9050-a96bf8c722f6,SessionStart,1750179521895
f1af5556-e822-4563-9050-a96bf8c722f6,GameStart,1750179533939,7f431505-8ae0-4f75-ad60-a8248742e827
f1af5556-e822-4563-9050-a96bf8c722f6,PlayerDies,1750179535390,7f431505-8ae0-4f75-ad60-a8248742e827,2,520423:-0,2467714:0,Camera
f1af5556-e822-4563-9050-a96bf8c722f6,GameEnd,1750179535390,7f431505-8ae0-4f75-ad60-a8248742e827
f1af5556-e822-4563-9050-a96bf8c722f6,SessionEnd,1750179539004
